sk_race,raceId,year,round,circuitId,name,date,source_id,load_timestamp
1,1,2009,1,1,australian grand prix,2009-03-29,kaggle_races,2026-05-15 08:49:13
2,2,2009,2,2,malaysian grand prix,2009-04-05,kaggle_races,2026-05-15 08:49:13
3,3,2009,3,17,chinese grand prix,2009-04-19,kaggle_races,2026-05-15 08:49:13
4,4,2009,4,3,bahrain grand prix,2009-04-26,kaggle_races,2026-05-15 08:49:13
5,5,2009,5,4,spanish grand prix,2009-05-10,kaggle_races,2026-05-15 08:49:13
6,6,2009,6,6,monaco grand prix,2009-05-24,kaggle_races,2026-05-15 08:49:13
7,7,2009,7,5,turkish grand prix,2009-06-07,kaggle_races,2026-05-15 08:49:13
8,8,2009,8,9,british grand prix,2009-06-21,kaggle_races,2026-05-15 08:49:13
9,9,2009,9,20,german grand prix,2009-07-12,kaggle_races,2026-05-15 08:49:13
10,10,2009,10,11,hungarian grand prix,2009-07-26,kaggle_races,2026-05-15 08:49:13
11,11,2009,11,12,european grand prix,2009-08-23,kaggle_races,2026-05-15 08:49:13
12,12,2009,12,13,belgian grand prix,2009-08-30,kaggle_races,2026-05-15 08:49:13
13,13,2009,13,14,italian grand prix,2009-09-13,kaggle_races,2026-05-15 08:49:13
14,14,2009,14,15,singapore grand prix,2009-09-27,kaggle_races,2026-05-15 08:49:13
15,15,2009,15,22,japanese grand prix,2009-10-04,kaggle_races,2026-05-15 08:49:13
16,16,2009,16,18,brazilian grand prix,2009-10-18,kaggle_races,2026-05-15 08:49:13
17,17,2009,17,24,abu dhabi grand prix,2009-11-01,kaggle_races,2026-05-15 08:49:13
18,18,2008,1,1,australian grand prix,2008-03-16,kaggle_races,2026-05-15 08:49:13
19,19,2008,2,2,malaysian grand prix,2008-03-23,kaggle_races,2026-05-15 08:49:13
20,20,2008,3,3,bahrain grand prix,2008-04-06,kaggle_races,2026-05-15 08:49:13
21,21,2008,4,4,spanish grand prix,2008-04-27,kaggle_races,2026-05-15 08:49:13
22,22,2008,5,5,turkish grand prix,2008-05-11,kaggle_races,2026-05-15 08:49:13
23,23,2008,6,6,monaco grand prix,2008-05-25,kaggle_races,2026-05-15 08:49:13
24,24,2008,7,7,canadian grand prix,2008-06-08,kaggle_races,2026-05-15 08:49:13
25,25,2008,8,8,french grand prix,2008-06-22,kaggle_races,2026-05-15 08:49:13
26,26,2008,9,9,british grand prix,2008-07-06,kaggle_races,2026-05-15 08:49:13
27,27,2008,10,10,german grand prix,2008-07-20,kaggle_races,2026-05-15 08:49:13
28,28,2008,11,11,hungarian grand prix,2008-08-03,kaggle_races,2026-05-15 08:49:13
29,29,2008,12,12,european grand prix,2008-08-24,kaggle_races,2026-05-15 08:49:13
30,30,2008,13,13,belgian grand prix,2008-09-07,kaggle_races,2026-05-15 08:49:13
31,31,2008,14,14,italian grand prix,2008-09-14,kaggle_races,2026-05-15 08:49:13
32,32,2008,15,15,singapore grand prix,2008-09-28,kaggle_races,2026-05-15 08:49:13
33,33,2008,16,16,japanese grand prix,2008-10-12,kaggle_races,2026-05-15 08:49:13
34,34,2008,17,17,chinese grand prix,2008-10-19,kaggle_races,2026-05-15 08:49:13
35,35,2008,18,18,brazilian grand prix,2008-11-02,kaggle_races,2026-05-15 08:49:13
36,36,2007,1,1,australian grand prix,2007-03-18,kaggle_races,2026-05-15 08:49:13
37,37,2007,2,2,malaysian grand prix,2007-04-08,kaggle_races,2026-05-15 08:49:13
38,38,2007,3,3,bahrain grand prix,2007-04-15,kaggle_races,2026-05-15 08:49:13
39,39,2007,4,4,spanish grand prix,2007-05-13,kaggle_races,2026-05-15 08:49:13
40,40,2007,5,6,monaco grand prix,2007-05-27,kaggle_races,2026-05-15 08:49:13
41,41,2007,6,7,canadian grand prix,2007-06-10,kaggle_races,2026-05-15 08:49:13
42,42,2007,7,19,united states grand prix,2007-06-17,kaggle_races,2026-05-15 08:49:13
43,43,2007,8,8,french grand prix,2007-07-01,kaggle_races,2026-05-15 08:49:13
44,44,2007,9,9,british grand prix,2007-07-08,kaggle_races,2026-05-15 08:49:13
45,45,2007,10,20,european grand prix,2007-07-22,kaggle_races,2026-05-15 08:49:13
46,46,2007,11,11,hungarian grand prix,2007-08-05,kaggle_races,2026-05-15 08:49:13
47,47,2007,12,5,turkish grand prix,2007-08-26,kaggle_races,2026-05-15 08:49:13
48,48,2007,13,14,italian grand prix,2007-09-09,kaggle_races,2026-05-15 08:49:13
49,49,2007,14,13,belgian grand prix,2007-09-16,kaggle_races,2026-05-15 08:49:13
50,50,2007,15,16,japanese grand prix,2007-09-30,kaggle_races,2026-05-15 08:49:13
51,51,2007,16,17,chinese grand prix,2007-10-07,kaggle_races,2026-05-15 08:49:13
52,52,2007,17,18,brazilian grand prix,2007-10-21,kaggle_races,2026-05-15 08:49:13
53,53,2006,1,3,bahrain grand prix,2006-03-12,kaggle_races,2026-05-15 08:49:13
54,54,2006,2,2,malaysian grand prix,2006-03-19,kaggle_races,2026-05-15 08:49:13
55,55,2006,3,1,australian grand prix,2006-04-02,kaggle_races,2026-05-15 08:49:13
56,56,2006,4,21,san marino grand prix,2006-04-23,kaggle_races,2026-05-15 08:49:13
57,57,2006,5,20,european grand prix,2006-05-07,kaggle_races,2026-05-15 08:49:13
58,58,2006,6,4,spanish grand prix,2006-05-14,kaggle_races,2026-05-15 08:49:13
59,59,2006,7,6,monaco grand prix,2006-05-28,kaggle_races,2026-05-15 08:49:13
60,60,2006,8,9,british grand prix,2006-06-11,kaggle_races,2026-05-15 08:49:13
61,61,2006,9,7,canadian grand prix,2006-06-25,kaggle_races,2026-05-15 08:49:13
62,62,2006,10,19,united states grand prix,2006-07-02,kaggle_races,2026-05-15 08:49:13
63,63,2006,11,8,french grand prix,2006-07-16,kaggle_races,2026-05-15 08:49:13
64,64,2006,12,10,german grand prix,2006-07-30,kaggle_races,2026-05-15 08:49:13
65,65,2006,13,11,hungarian grand prix,2006-08-06,kaggle_races,2026-05-15 08:49:13
66,66,2006,14,5,turkish grand prix,2006-08-27,kaggle_races,2026-05-15 08:49:13
67,67,2006,15,14,italian grand prix,2006-09-10,kaggle_races,2026-05-15 08:49:13
68,68,2006,16,17,chinese grand prix,2006-10-01,kaggle_races,2026-05-15 08:49:13
69,69,2006,17,22,japanese grand prix,2006-10-08,kaggle_races,2026-05-15 08:49:13
70,70,2006,18,18,brazilian grand prix,2006-10-22,kaggle_races,2026-05-15 08:49:13
71,71,2005,1,1,australian grand prix,2005-03-06,kaggle_races,2026-05-15 08:49:13
72,72,2005,2,2,malaysian grand prix,2005-03-20,kaggle_races,2026-05-15 08:49:13
73,73,2005,3,3,bahrain grand prix,2005-04-03,kaggle_races,2026-05-15 08:49:13
74,74,2005,4,21,san marino grand prix,2005-04-24,kaggle_races,2026-05-15 08:49:13
75,75,2005,5,4,spanish grand prix,2005-05-08,kaggle_races,2026-05-15 08:49:13
76,76,2005,6,6,monaco grand prix,2005-05-22,kaggle_races,2026-05-15 08:49:13
77,77,2005,7,20,european grand prix,2005-05-29,kaggle_races,2026-05-15 08:49:13
78,78,2005,8,7,canadian grand prix,2005-06-12,kaggle_races,2026-05-15 08:49:13
79,79,2005,9,19,united states grand prix,2005-06-19,kaggle_races,2026-05-15 08:49:13
80,80,2005,10,8,french grand prix,2005-07-03,kaggle_races,2026-05-15 08:49:13
81,81,2005,11,9,british grand prix,2005-07-10,kaggle_races,2026-05-15 08:49:13
82,82,2005,12,10,german grand prix,2005-07-24,kaggle_races,2026-05-15 08:49:13
83,83,2005,13,11,hungarian grand prix,2005-07-31,kaggle_races,2026-05-15 08:49:13
84,84,2005,14,5,turkish grand prix,2005-08-21,kaggle_races,2026-05-15 08:49:13
85,85,2005,15,14,italian grand prix,2005-09-04,kaggle_races,2026-05-15 08:49:13
86,86,2005,16,13,belgian grand prix,2005-09-11,kaggle_races,2026-05-15 08:49:13
87,87,2005,17,18,brazilian grand prix,2005-09-25,kaggle_races,2026-05-15 08:49:13
88,88,2005,18,22,japanese grand prix,2005-10-09,kaggle_races,2026-05-15 08:49:13
89,89,2005,19,17,chinese grand prix,2005-10-16,kaggle_races,2026-05-15 08:49:13
90,90,2004,1,1,australian grand prix,2004-03-07,kaggle_races,2026-05-15 08:49:13
91,91,2004,2,2,malaysian grand prix,2004-03-21,kaggle_races,2026-05-15 08:49:13
92,92,2004,3,3,bahrain grand prix,2004-04-04,kaggle_races,2026-05-15 08:49:13
93,93,2004,4,21,san marino grand prix,2004-04-25,kaggle_races,2026-05-15 08:49:13
94,94,2004,5,4,spanish grand prix,2004-05-09,kaggle_races,2026-05-15 08:49:13
95,95,2004,6,6,monaco grand prix,2004-05-23,kaggle_races,2026-05-15 08:49:13
