sk_tiempo,fecha,anio,trimestre,mes,semana,dia,dia_semana,es_festivo
1,2009-03-29,2009,1,3,13,29,Sunday,0
2,2009-04-05,2009,2,4,14,5,Sunday,0
3,2009-04-19,2009,2,4,16,19,Sunday,0
4,2009-04-26,2009,2,4,17,26,Sunday,0
5,2009-05-10,2009,2,5,19,10,Sunday,0
6,2009-05-24,2009,2,5,21,24,Sunday,0
7,2009-06-07,2009,2,6,23,7,Sunday,0
8,2009-06-21,2009,2,6,25,21,Sunday,0
9,2009-07-12,2009,3,7,28,12,Sunday,0
10,2009-07-26,2009,3,7,30,26,Sunday,0
11,2009-08-23,2009,3,8,34,23,Sunday,0
12,2009-08-30,2009,3,8,35,30,Sunday,0
13,2009-09-13,2009,3,9,37,13,Sunday,0
14,2009-09-27,2009,3,9,39,27,Sunday,0
15,2009-10-04,2009,4,10,40,4,Sunday,0
16,2009-10-18,2009,4,10,42,18,Sunday,0
17,2009-11-01,2009,4,11,44,1,Sunday,0
18,2008-03-16,2008,1,3,11,16,Sunday,0
19,2008-03-23,2008,1,3,12,23,Sunday,0
20,2008-04-06,2008,2,4,14,6,Sunday,0
21,2008-04-27,2008,2,4,17,27,Sunday,0
22,2008-05-11,2008,2,5,19,11,Sunday,0
23,2008-05-25,2008,2,5,21,25,Sunday,0
24,2008-06-08,2008,2,6,23,8,Sunday,0
25,2008-06-22,2008,2,6,25,22,Sunday,0
26,2008-07-06,2008,3,7,27,6,Sunday,0
27,2008-07-20,2008,3,7,29,20,Sunday,0
28,2008-08-03,2008,3,8,31,3,Sunday,0
29,2008-08-24,2008,3,8,34,24,Sunday,0
30,2008-09-07,2008,3,9,36,7,Sunday,0
31,2008-09-14,2008,3,9,37,14,Sunday,0
32,2008-09-28,2008,3,9,39,28,Sunday,0
33,2008-10-12,2008,4,10,41,12,Sunday,0
34,2008-10-19,2008,4,10,42,19,Sunday,0
35,2008-11-02,2008,4,11,44,2,Sunday,0
36,2007-03-18,2007,1,3,11,18,Sunday,0
37,2007-04-08,2007,2,4,14,8,Sunday,0
38,2007-04-15,2007,2,4,15,15,Sunday,0
39,2007-05-13,2007,2,5,19,13,Sunday,0
40,2007-05-27,2007,2,5,21,27,Sunday,0
41,2007-06-10,2007,2,6,23,10,Sunday,0
42,2007-06-17,2007,2,6,24,17,Sunday,0
