sk_resultado,resultId,sk_race,sk_driver,sk_tiempo,constructorId,grid,positionOrder,points,laps,milliseconds,fastestLapSpeed,statusId,source_id,load_timestamp
1,1,18,1,18,1,1,1,10.0,58,5690616,218.3,1,kaggle_results,2026-05-15 08:49:45
2,2,18,2,18,2,5,2,8.0,58,5696094,217.586,1,kaggle_results,2026-05-15 08:49:45
3,3,18,3,18,3,7,3,6.0,58,5698779,216.719,1,kaggle_results,2026-05-15 08:49:45
4,4,18,4,18,4,11,4,5.0,58,5707797,215.464,1,kaggle_results,2026-05-15 08:49:45
5,5,18,5,18,1,3,5,4.0,58,5708630,218.385,1,kaggle_results,2026-05-15 08:49:45
6,6,18,6,18,3,13,6,3.0,57,0,212.974,11,kaggle_results,2026-05-15 08:49:45
7,7,18,7,18,5,17,7,2.0,55,0,213.224,5,kaggle_results,2026-05-15 08:49:45
8,8,18,8,18,6,15,8,1.0,53,0,217.18,5,kaggle_results,2026-05-15 08:49:45
9,9,18,9,18,2,2,9,0.0,47,0,215.1,4,kaggle_results,2026-05-15 08:49:45
10,10,18,10,18,7,18,10,0.0,43,0,213.166,3,kaggle_results,2026-05-15 08:49:45
11,11,18,11,18,8,19,11,0.0,32,0,210.038,7,kaggle_results,2026-05-15 08:49:45
12,12,18,12,18,4,20,12,0.0,30,0,208.907,8,kaggle_results,2026-05-15 08:49:45
13,13,18,13,18,6,4,13,0.0,29,0,216.51,5,kaggle_results,2026-05-15 08:49:45
14,14,18,14,18,9,8,14,0.0,25,0,213.3,4,kaggle_results,2026-05-15 08:49:45
15,15,18,15,18,7,6,15,0.0,19,0,213.758,10,kaggle_results,2026-05-15 08:49:45
16,16,18,16,18,10,22,16,0.0,8,0,207.461,9,kaggle_results,2026-05-15 08:49:45
17,17,18,17,18,9,14,17,0.0,0,0,0.0,4,kaggle_results,2026-05-15 08:49:45
18,18,18,18,18,11,12,18,0.0,0,0,0.0,4,kaggle_results,2026-05-15 08:49:45
19,19,18,19,18,8,21,19,0.0,0,0,0.0,4,kaggle_results,2026-05-15 08:49:45
20,20,18,20,18,5,9,20,0.0,0,0,0.0,4,kaggle_results,2026-05-15 08:49:45
21,21,18,21,18,10,16,21,0.0,0,0,0.0,4,kaggle_results,2026-05-15 08:49:45
22,22,18,22,18,11,10,22,0.0,58,0,215.141,2,kaggle_results,2026-05-15 08:49:45
23,23,19,8,19,6,2,1,10.0,56,5478555,209.158,1,kaggle_results,2026-05-15 08:49:45
24,24,19,9,19,2,4,2,8.0,56,5498125,208.033,1,kaggle_results,2026-05-15 08:49:45
25,25,19,5,19,1,8,3,6.0,56,5517005,208.031,1,kaggle_results,2026-05-15 08:49:45
26,26,19,15,19,7,3,4,5.0,56,5524387,207.715,1,kaggle_results,2026-05-15 08:49:45
27,27,19,1,19,1,9,5,4.0,56,5525103,209.033,1,kaggle_results,2026-05-15 08:49:45
28,28,19,2,19,2,5,6,3.0,56,5528388,209.244,1,kaggle_results,2026-05-15 08:49:45
29,29,19,17,19,9,6,7,2.0,56,5546685,206.366,1,kaggle_results,2026-05-15 08:49:45
30,30,19,4,19,4,7,8,1.0,56,5548596,207.24,1,kaggle_results,2026-05-15 08:49:45
31,31,19,14,19,9,12,9,0.0,56,5554775,207.417,1,kaggle_results,2026-05-15 08:49:45
32,32,19,18,19,11,11,10,0.0,56,5564769,208.481,1,kaggle_results,2026-05-15 08:49:45
